"Timestamp","What is your name?","What is your Telegram Name?","Please input the time stamps, in HH:MM:SS:DDD! Follow the format in the picture carefully...."
"2020/12/22 10:00:30 PM GMT+8","S","@s","00:00:00.000
00:00:29.000
00:00:53.000
00:01:29.000
00:02:04.000
00:02:50.000
00:03:29.000
00:04:50.000
00:05:16.000
00:05:56.000
00:09:30.000
00:11:57.000
00:13:38.000
00:15:58.000
00:17:40.000
00:20:45.000
00:21:24.000
00:22:16.000
00:23:00.000
00:23:32.000
00:26:39.000
00:27:07.000
00:29:22.000
00:30:07.000
00:31:55.000
00:33:33.000
00:37:17.000
00:37:54.000
00:37:54.000
00:37:54.000
00:40:37.000
00:42:03.000
00:46:23.000
00:50:40.000
00:50:40.000
00:50:40.000
00:50:40.000
00:53:44.000
01:04:27.000
01:07:57.000
01:12:05.000
01:14:56.000
01:17:05.000
01:17:05.000
01:25:45.000
01:26:45.000"
"2020/12/22 10:01:06 PM GMT+8","J","@J","00:04:52.000
00:05:18.000
00:07:57.000
00:09:31.000
00:13:38.000
00:15:56.000
00:17:41.000
00:21:24.000
00:22:16.000
00:22:20.000
00:23:00.000
00:23:31.000
00:25:18.000
00:26:40.000
00:27:07.000
00:28:11.000
00:29:22.000
00:30:04.000
00:30:04.000
00:31:55.000
00:32:04.000
00:33:31.000
00:37:16.000
00:37:42.000
00:37:58.000
00:37:58.000
00:37:58.000
00:37:58.000
00:37:58.000
00:40:55.000
00:42:01.000
00:43:06.000
00:46:20.000
00:49:20.000
00:49:43.000
00:50:41.000
00:50:41.000
00:50:41.000
00:50:41.000
00:53:28.000
00:53:44.000
00:54:31.000
00:59:02.000
01:01:04.000
01:02:46.000
01:04:28.000
01:05:32.000
01:05:32.000
01:07:51.000
01:12:04.000
01:12:48.000
01:13:34.000
01:14:50.000
01:17:35.000
01:25:29.000
01:25:48.000
01:26:44.000"
"2020/12/22 10:11:59 PM GMT+8","M","X","00:00:00.000
00:00:29.000
00:00:53.000
00:01:29.000
00:02:04.000
00:02:50.000
00:03:29.000
00:04:50.000
00:05:16.000
00:05:56.000
00:09:30.000
00:11:57.000
00:13:38.000
00:15:58.000
00:17:40.000
00:20:45.000
00:21:24.000
00:22:16.000
00:23:00.000
00:23:32.000
00:26:39.000
00:27:07.000
00:29:22.000
00:30:07.000
00:31:55.000
00:33:33.000
00:37:17.000
00:37:54.000
00:37:54.000
00:37:54.000
00:40:37.000
00:42:03.000
00:46:23.000
00:50:40.000
00:50:40.000
00:50:40.000
00:50:40.000
00:53:44.000
01:04:27.000
01:07:57.000
01:12:05.000
01:14:56.000
01:17:05.000
01:17:05.000
01:25:45.000
01:26:45.000"
